,RMSE,R2,MAE
Linear Regression,1318699.8682385646,0.6559609902058833,982214.7368160533
Random Forest,1411255.3681715813,0.6059720971080633,1028086.4711009173
XGBoost,1457169.1118363328,0.5799164772033691,1089245.4518348624
